student_id,fee_submission_date,day_of_month
63,2022-08-09,9
68,2023-10-05,5
16,2021-12-12,12
7,2022-11-01,1
9,2024-04-17,17
65,2022-08-19,19
42,2023-01-23,23
86,2022-08-29,29
81,2024-03-11,11
78,2022-02-24,24
18,2024-05-05,5
84,2021-12-16,16
68,2023-08-11,11
4,2024-05-03,3
87,2023-04-26,26
73,2022-02-17,17
29,2023-09-09,9
84,2023-12-06,6
98,2024-04-12,12
82,2023-09-02,2
54,2023-06-15,15
3,2024-01-06,6
15,2024-12-03,3
80,2023-01-22,22
24,2023-06-06,6
88,2024-03-20,20
35,2022-12-29,29
2,2023-10-21,21
67,2023-03-03,3
80,2024-11-07,7
6,2024-02-26,26
92,2024-01-06,6
55,2024-09-04,4
80,2024-03-30,30
87,2023-06-04,4
34,2024-05-04,4
23,2022-12-27,27
7,2023-04-03,3
32,2024-12-03,3
51,2022-02-28,28
40,2023-05-02,2
74,2022-10-05,5
84,2023-06-06,6
36,2022-02-11,11
76,2023-02-26,26
8,2022-12-04,4
69,2024-03-11,11
52,2022-03-07,7
96,2023-08-31,31
49,2023-09-02,2
43,2022-07-19,19
89,2023-08-24,24
5,2022-04-16,16
98,2024-05-05,5
60,2023-04-22,22
13,2022-10-13,13
97,2024-08-20,20
13,2024-07-08,8
50,2022-10-05,5
16,2022-12-30,30
20,2024-05-08,8
78,2022-06-24,24
59,2024-05-08,8
26,2024-12-06,6
79,2023-08-31,31
72,2023-08-23,23
88,2024-05-03,3
89,2023-03-16,16
72,2024-03-20,20
77,2023-03-04,4
58,2024-09-11,11
38,2024-03-11,11
30,2023-04-03,3
59,2024-07-18,18
11,2024-09-11,11
7,2024-05-02,2
70,2023-01-10,10
53,2024-05-04,4
42,2022-12-03,3
64,2024-11-07,7
54,2023-01-31,31
49,2022-08-09,9
34,2022-07-19,19
81,2024-08-20,20
36,2023-08-24,24
9,2023-04-14,14
70,2023-08-23,23
95,2022-06-12,12
57,2022-01-10,10
20,2022-08-16,16
67,2024-01-20,20
94,2022-12-25,25
10,2024-03-11,11
47,2023-11-11,11
36,2024-11-07,7
73,2022-04-12,12
38,2024-03-11,11
54,2022-11-13,13
54,2023-04-22,22
13,2022-01-10,10
28,2023-12-06,6
8,2022-03-11,11
51,2022-09-10,10
38,2024-03-19,19
52,2022-01-05,5
8,2023-10-27,27
37,2024-07-18,18
60,2022-03-07,7
7,2023-02-01,1
34,2023-08-24,24
90,2022-07-27,27
55,2024-08-12,12
24,2022-06-12,12
81,2024-09-12,12
16,2024-03-25,25
67,2023-08-26,26
79,2022-10-29,29
7,2023-07-07,7
17,2022-07-23,23
27,2024-07-18,18
15,2023-01-12,12
92,2023-04-22,22
21,2022-12-03,3
53,2022-02-28,28
35,2023-06-20,20
80,2023-03-03,3
46,2022-02-15,15
93,2022-01-10,10
41,2024-03-20,20
85,2024-06-15,15
96,2024-05-03,3
96,2024-05-28,28
9,2024-03-26,26
13,2023-11-25,25
80,2023-06-27,27
57,2023-09-02,2
44,2024-02-26,26
23,2021-12-13,13
51,2023-11-20,20
48,2023-04-26,26
87,2022-03-24,24
39,2024-01-04,4
75,2021-12-12,12
91,2024-08-31,31
78,2024-12-03,3
84,2023-07-17,17
71,2024-04-17,17
22,2023-03-09,9
41,2022-06-12,12
73,2024-09-21,21
83,2023-06-04,4
51,2024-07-15,15
79,2024-03-19,19
39,2024-09-12,12
4,2024-03-02,2
100,2022-04-20,20
100,2024-03-26,26
50,2024-11-30,30
78,2023-04-05,5
28,2024-12-06,6
16,2023-06-07,7
47,2024-11-30,30
26,2022-11-01,1
31,2024-04-17,17
5,2023-05-02,2
40,2023-01-24,24
93,2024-05-15,15
4,2022-08-29,29
83,2024-03-02,2
52,2024-01-20,20
76,2023-09-30,30
28,2024-03-26,26
84,2024-01-06,6
2,2024-07-15,15
74,2023-04-05,5
61,2022-07-28,28
84,2022-02-24,24
70,2022-07-28,28
36,2024-03-11,11
89,2023-08-31,31
73,2022-06-30,30
50,2022-03-11,11
66,2022-07-23,23
33,2024-05-03,3
77,2024-03-07,7
83,2023-11-11,11
92,2023-10-10,10
63,2022-03-11,11
83,2024-06-29,29
10,2023-06-06,6
66,2024-05-04,4
75,2023-05-16,16
89,2023-09-30,30
84,2024-02-26,26
8,2022-07-19,19
48,2022-06-23,23
92,2023-10-10,10
84,2023-07-17,17
34,2024-06-15,15
3,2024-08-12,12
69,2022-10-09,9
67,2022-08-08,8
90,2023-06-07,7
6,2022-07-28,28
34,2023-05-29,29
63,2023-03-09,9
34,2022-12-25,25
70,2023-07-24,24
28,2024-04-17,17
87,2022-12-28,28
30,2024-03-19,19
31,2024-04-12,12
50,2022-02-15,15
49,2023-11-25,25
31,2024-11-30,30
70,2024-12-06,6
14,2023-03-09,9
84,2023-08-23,23
85,2022-01-05,5
32,2022-04-19,19
33,2024-05-08,8
43,2023-09-02,2
18,2022-11-13,13
85,2023-04-03,3
53,2023-05-02,2
46,2023-03-10,10
17,2022-01-05,5
47,2024-04-22,22
4,2024-07-15,15
99,2022-10-05,5
1,2024-03-26,26
18,2022-02-24,24
61,2024-01-06,6
51,2024-04-12,12
19,2023-01-17,17
20,2024-03-20,20
90,2023-02-16,16
90,2023-11-25,25
91,2023-02-02,2
57,2023-04-03,3
2,2023-04-21,21
91,2024-03-19,19
63,2021-12-17,17
73,2024-04-22,22
89,2024-03-30,30
99,2024-01-06,6
33,2024-09-09,9
90,2024-01-04,4
11,2023-10-10,10
21,2022-10-09,9
88,2021-12-12,12
51,2022-10-05,5
55,2022-03-11,11
86,2023-07-17,17
77,2024-01-04,4
95,2024-04-17,17
97,2023-04-26,26
71,2024-03-25,25
32,2023-07-07,7
48,2023-02-16,16
65,2024-11-18,18
19,2022-09-06,6
85,2024-05-05,5
51,2024-07-08,8
8,2022-07-27,27
22,2022-05-04,4
47,2024-04-22,22
67,2023-09-09,9
10,2023-06-15,15
86,2022-01-16,16
44,2024-07-15,15
54,2023-04-05,5
54,2022-08-16,16
60,2023-02-26,26
1,2023-08-31,31
49,2023-04-25,25
40,2023-04-14,14
82,2024-11-07,7
45,2024-05-05,5
88,2022-07-19,19
92,2021-12-16,16
27,2022-08-16,16
25,2023-10-04,4
85,2024-06-15,15
55,2023-06-27,27
58,2022-07-19,19
39,2023-04-21,21
6,2024-09-09,9
37,2023-10-04,4
90,2022-10-09,9
21,2024-11-30,30
30,2023-11-25,25
94,2022-08-08,8
62,2024-06-15,15
9,2024-06-29,29
4,2023-02-02,2
56,2023-05-26,26
4,2023-06-27,27
26,2023-01-10,10
58,2023-09-09,9
58,2023-02-02,2
94,2023-06-04,4
87,2022-01-10,10
82,2022-07-19,19
64,2023-09-30,30
1,2022-12-29,29
64,2024-08-12,12
52,2023-07-24,24
97,2023-01-12,12
40,2024-05-08,8
2,2023-04-14,14
66,2024-11-18,18
91,2022-12-09,9
49,2024-03-11,11
3,2023-10-05,5
19,2022-12-04,4
49,2023-03-09,9
74,2024-03-25,25
32,2023-07-29,29
73,2024-08-23,23
19,2024-02-26,26
93,2023-07-29,29
55,2024-08-23,23
82,2024-09-12,12
3,2024-06-15,15
70,2024-07-08,8
64,2023-09-02,2
15,2021-12-13,13
65,2023-10-05,5
86,2024-11-18,18
91,2024-04-17,17
47,2023-04-03,3
28,2022-02-17,17
6,2022-12-09,9
99,2024-12-06,6
90,2022-06-24,24
86,2024-09-04,4
47,2023-03-03,3
73,2022-01-16,16
83,2022-04-12,12
21,2022-08-16,16
88,2023-06-06,6
1,2023-08-11,11
8,2022-08-29,29
28,2023-01-17,17
8,2023-08-27,27
24,2024-12-03,3
21,2024-03-07,7
82,2022-04-20,20
16,2022-02-11,11
66,2022-10-08,8
46,2022-04-12,12
7,2024-07-15,15
10,2024-03-20,20
11,2022-07-23,23
83,2023-10-10,10
6,2024-03-07,7
36,2022-10-13,13
82,2024-11-30,30
34,2023-01-22,22
17,2023-05-01,1
69,2024-11-30,30
29,2023-06-27,27
22,2023-07-23,23
28,2024-09-04,4
38,2023-04-21,21
98,2022-10-05,5
29,2024-01-27,27
11,2022-03-11,11
53,2022-04-16,16
28,2024-09-25,25
46,2023-07-23,23
31,2024-08-23,23
98,2023-04-03,3
32,2023-03-04,4
72,2022-06-24,24
75,2024-01-04,4
35,2023-04-25,25
7,2022-07-19,19
86,2024-09-09,9
88,2022-04-20,20
2,2022-09-10,10
89,2022-08-09,9
15,2021-12-12,12
6,2022-02-25,25
7,2024-09-12,12
58,2023-07-07,7
32,2022-02-28,28
8,2022-10-08,8
66,2024-07-14,14
56,2023-05-26,26
38,2023-09-02,2
10,2022-03-11,11
11,2023-08-31,31
23,2022-02-28,28
93,2022-12-04,4
26,2023-07-07,7
23,2022-12-03,3
93,2023-07-24,24
93,2022-08-09,9
50,2024-01-30,30
37,2023-02-26,26
34,2024-03-11,11
14,2023-04-03,3
50,2021-12-13,13
52,2023-11-25,25
59,2022-07-28,28
55,2023-05-16,16
35,2023-04-03,3
36,2023-03-16,16
23,2024-03-11,11
71,2021-12-16,16
73,2023-12-29,29
27,2024-01-06,6
22,2023-06-06,6
4,2024-03-20,20
52,2022-08-19,19
99,2022-07-28,28
92,2022-08-29,29
6,2023-01-12,12
11,2024-01-30,30
24,2024-10-29,29
97,2022-07-29,29
98,2022-07-27,27
78,2023-04-03,3
86,2023-03-10,10
5,2023-07-29,29
53,2024-06-15,15
10,2022-05-04,4
17,2024-03-30,30
27,2022-04-16,16
74,2022-02-21,21
41,2022-08-29,29
31,2022-12-29,29
10,2024-09-21,21
99,2024-01-30,30
44,2022-03-07,7
29,2023-10-10,10
28,2023-08-11,11
62,2024-04-22,22
96,2024-03-19,19
42,2022-01-10,10
54,2024-01-06,6
10,2023-05-02,2
84,2023-04-21,21
26,2024-01-22,22
94,2022-12-09,9
27,2024-05-15,15
96,2023-02-02,2
56,2022-02-25,25
69,2024-03-07,7
40,2023-10-26,26
70,2024-03-11,11
10,2022-11-01,1
61,2024-05-28,28
2,2022-10-05,5
56,2024-10-14,14
22,2024-04-22,22
26,2022-12-30,30
52,2022-10-05,5
87,2023-08-11,11
31,2023-05-16,16
86,2023-08-26,26
75,2024-07-10,10
93,2024-03-19,19
78,2023-09-02,2
82,2023-02-16,16
100,2022-02-28,28
87,2022-11-02,2
25,2023-04-01,1
20,2024-04-17,17
80,2023-10-10,10
17,2022-04-12,12
82,2023-02-26,26
51,2023-08-27,27
73,2022-09-28,28
65,2023-04-26,26
15,2022-04-16,16
84,2022-08-18,18
17,2022-08-11,11
58,2024-03-20,20
62,2024-01-20,20
65,2024-07-14,14
23,2023-02-01,1
97,2023-08-31,31
99,2022-08-11,11
43,2023-11-25,25
31,2023-10-26,26
22,2022-02-24,24
81,2022-12-25,25
25,2021-12-13,13
22,2024-05-08,8
49,2022-12-27,27
76,2022-04-19,19
63,2023-01-27,27
73,2024-06-12,12
9,2021-12-17,17
42,2024-11-07,7
64,2024-10-29,29
8,2023-07-29,29
58,2024-03-30,30
76,2023-09-02,2
86,2023-11-11,11
76,2022-09-06,6
63,2022-02-24,24
53,2023-09-02,2
74,2023-11-25,25
85,2024-08-12,12
12,2024-05-08,8
8,2021-12-17,17
21,2023-03-03,3
2,2022-06-25,25
44,2024-03-07,7
100,2023-04-01,1
90,2023-08-27,27
2,2024-03-30,30
42,2024-09-11,11
18,2022-04-20,20
78,2022-08-09,9
53,2023-05-29,29
81,2022-02-24,24
54,2021-12-13,13
81,2022-09-06,6
66,2024-04-22,22
33,2024-03-20,20
80,2022-10-09,9
25,2023-02-26,26
11,2023-08-27,27
92,2024-03-02,2
81,2023-07-07,7
67,2021-12-17,17
65,2022-08-18,18
21,2022-10-08,8
53,2022-06-12,12
37,2023-08-31,31
18,2024-10-29,29
92,2023-04-25,25
68,2022-02-15,15
94,2022-10-14,14
39,2024-05-08,8
13,2022-02-21,21
30,2024-08-13,13
30,2023-09-30,30
34,2023-11-11,11
43,2024-08-12,12
72,2023-08-11,11
94,2023-12-06,6
73,2024-06-29,29
53,2023-11-13,13
73,2023-09-09,9
24,2024-01-04,4
6,2023-02-16,16
48,2022-12-04,4
36,2022-12-30,30
29,2023-01-10,10
28,2023-03-10,10
37,2022-08-16,16
16,2023-04-22,22
92,2022-02-21,21
75,2022-12-28,28
76,2024-04-12,12
37,2022-08-19,19
31,2022-12-04,4
76,2024-03-26,26
92,2024-07-06,6
81,2023-02-02,2
28,2022-10-13,13
59,2024-08-23,23
85,2022-02-21,21
16,2023-03-09,9
35,2024-01-06,6
90,2022-02-25,25
9,2023-07-23,23
31,2023-02-02,2
87,2024-11-18,18
51,2022-08-16,16
63,2024-03-30,30
67,2024-01-06,6
95,2024-01-30,30
86,2022-05-04,4
23,2023-09-30,30
10,2023-01-10,10
19,2023-04-22,22
100,2022-12-04,4
40,2022-12-30,30
20,2023-01-23,23
4,2023-06-07,7
55,2024-01-30,30
25,2023-02-16,16
97,2024-06-15,15
61,2023-10-10,10
84,2023-04-21,21
50,2024-01-27,27
77,2023-07-29,29
53,2023-10-10,10
60,2022-12-27,27
19,2024-06-29,29
79,2023-12-06,6
67,2022-07-27,27
40,2022-10-09,9
4,2022-04-16,16
28,2022-12-29,29
69,2022-06-23,23
27,2022-11-01,1
55,2023-03-03,3
3,2022-12-30,30
84,2024-04-17,17
49,2022-12-30,30
21,2023-05-26,26
99,2021-12-12,12
48,2023-04-01,1
44,2022-12-25,25
34,2023-01-22,22
43,2024-01-04,4
55,2024-11-30,30
64,2024-03-20,20
44,2024-10-29,29
75,2023-05-29,29
31,2023-02-16,16
39,2022-08-16,16
96,2024-09-12,12
66,2022-09-10,10
51,2024-03-30,30
14,2024-01-04,4
2,2023-09-09,9
75,2022-04-20,20
31,2024-05-15,15
66,2023-01-17,17
9,2024-12-03,3
29,2023-11-13,13
92,2022-12-03,3
80,2022-12-09,9
99,2024-12-06,6
39,2022-10-29,29
15,2024-05-15,15
29,2024-01-22,22
86,2024-08-23,23
89,2024-05-28,28
28,2022-06-25,25
99,2024-03-20,20
29,2024-12-03,3
28,2022-08-29,29
76,2023-01-10,10
46,2024-01-27,27
20,2024-08-31,31
93,2024-01-06,6
75,2021-12-16,16
58,2022-10-05,5
80,2022-06-12,12
17,2023-11-11,11
39,2023-06-06,6
32,2022-03-07,7
46,2022-12-04,4
49,2023-08-24,24
72,2024-01-20,20
34,2022-12-30,30
48,2022-08-19,19
98,2023-10-26,26
36,2022-12-09,9
17,2022-12-03,3
42,2023-07-07,7
63,2022-06-25,25
68,2023-08-24,24
17,2024-03-11,11
60,2023-01-12,12
46,2024-09-25,25
87,2022-10-13,13
46,2024-03-30,30
32,2022-12-09,9
31,2023-02-01,1
81,2022-10-13,13
70,2024-08-31,31
52,2023-02-16,16
42,2022-05-04,4
18,2024-04-17,17
85,2024-01-27,27
33,2024-05-08,8
5,2023-06-15,15
55,2024-09-09,9
83,2024-05-02,2
40,2023-12-29,29
20,2022-06-24,24
37,2024-05-03,3
40,2023-10-27,27
20,2023-01-24,24
80,2023-07-23,23
89,2022-02-17,17
56,2023-01-23,23
51,2024-04-17,17
39,2023-10-04,4
31,2022-10-09,9
38,2024-06-29,29
92,2023-05-29,29
33,2023-11-13,13
65,2023-04-21,21
29,2024-11-23,23
92,2023-04-14,14
16,2022-12-03,3
82,2024-11-23,23
5,2022-02-28,28
17,2023-04-21,21
53,2022-06-25,25
7,2023-01-31,31
29,2024-03-11,11
40,2023-01-22,22
15,2023-08-24,24
96,2024-04-17,17
61,2022-12-04,4
50,2023-04-22,22
60,2022-12-04,4
8,2023-08-23,23
38,2023-04-05,5
89,2022-03-11,11
85,2024-03-20,20
18,2024-10-14,14
28,2022-09-06,6
36,2022-12-30,30
98,2024-12-03,3
67,2024-12-03,3
17,2024-03-11,11
39,2023-11-11,11
67,2022-06-25,25
67,2023-06-07,7
53,2023-10-26,26
16,2024-03-02,2
27,2022-07-27,27
78,2022-04-19,19
19,2023-07-29,29
33,2023-06-15,15
23,2023-08-31,31
28,2023-10-10,10
89,2024-09-12,12
1,2023-04-01,1
81,2023-10-27,27
68,2023-06-20,20
93,2023-04-26,26
50,2024-01-20,20
2,2024-03-30,30
73,2024-08-31,31
41,2023-06-04,4
85,2022-12-28,28
97,2024-05-15,15
49,2023-07-24,24
74,2023-06-07,7
58,2024-03-20,20
1,2024-04-22,22
86,2022-12-30,30
92,2023-02-16,16
91,2023-04-26,26
10,2021-12-17,17
66,2024-03-11,11
31,2022-11-01,1
50,2023-06-20,20
1,2023-11-25,25
73,2022-12-27,27
83,2024-04-22,22
59,2023-03-04,4
45,2024-03-19,19
71,2021-12-13,13
33,2024-05-15,15
12,2022-07-28,28
11,2023-06-15,15
67,2024-01-04,4
46,2023-03-04,4
29,2024-11-07,7
59,2023-06-06,6
31,2024-05-04,4
26,2024-11-23,23
61,2022-11-13,13
55,2022-02-24,24
50,2023-06-15,15
48,2022-02-11,11
34,2022-01-05,5
95,2023-04-05,5
25,2023-03-03,3
61,2023-04-21,21
49,2022-12-09,9
91,2023-10-26,26
66,2024-06-29,29
84,2024-09-12,12
32,2023-04-05,5
93,2023-07-29,29
3,2022-12-28,28
9,2022-07-26,26
6,2022-10-05,5
9,2024-03-20,20
60,2022-11-01,1
68,2024-03-30,30
96,2024-03-25,25
15,2024-01-20,20
95,2024-11-07,7
87,2022-10-09,9
2,2023-04-25,25
99,2022-12-03,3
97,2024-08-13,13
12,2023-03-03,3
77,2023-01-31,31
52,2022-07-26,26
2,2023-04-25,25
20,2023-01-24,24
40,2023-06-20,20
80,2022-11-02,2
5,2024-07-06,6
8,2024-06-15,15
74,2024-10-29,29
37,2024-01-04,4
53,2024-03-11,11
79,2022-08-16,16
84,2023-04-22,22
14,2024-03-20,20
100,2022-07-28,28
66,2024-07-08,8
23,2022-03-07,7
14,2022-12-25,25
58,2023-11-13,13
16,2023-05-16,16
39,2024-11-23,23
33,2024-03-25,25
49,2023-10-05,5
61,2024-03-25,25
28,2024-06-15,15
40,2024-03-02,2
31,2024-08-20,20
66,2022-09-06,6
41,2024-05-04,4
43,2022-04-20,20
71,2023-05-01,1
11,2024-07-10,10
49,2022-11-02,2
82,2023-11-13,13
95,2023-11-25,25
93,2024-04-22,22
88,2022-07-19,19
36,2023-10-21,21
28,2023-07-17,17
14,2022-08-11,11
23,2022-10-29,29
17,2022-08-09,9
10,2023-10-10,10
28,2024-04-17,17
83,2023-02-16,16
89,2023-08-11,11
85,2024-05-28,28
33,2021-12-13,13
72,2023-01-10,10
10,2024-06-15,15
33,2022-04-12,12
59,2023-06-06,6
77,2024-01-06,6
24,2022-12-28,28
94,2022-10-29,29
56,2023-07-23,23
52,2024-01-05,5
15,2024-01-06,6
56,2022-06-30,30
48,2024-03-30,30
81,2022-06-23,23
75,2023-08-31,31
3,2024-08-20,20
16,2023-10-04,4
14,2024-06-15,15
67,2023-01-27,27
86,2024-11-07,7
75,2024-11-23,23
88,2022-04-12,12
98,2024-07-18,18
70,2022-07-26,26
100,2022-10-13,13
52,2022-12-29,29
46,2022-11-02,2
70,2024-01-06,6
22,2024-01-27,27
22,2024-04-12,12
69,2024-09-09,9
60,2024-06-29,29
97,2024-07-18,18
86,2023-08-11,11
28,2023-04-03,3
52,2024-09-04,4
70,2023-08-26,26
18,2023-08-26,26
40,2024-07-10,10
94,2022-12-03,3
71,2024-01-06,6
17,2023-01-31,31
88,2022-06-23,23
43,2024-07-06,6
8,2023-01-10,10
2,2023-01-17,17
49,2023-12-29,29
76,2023-04-25,25
96,2022-07-29,29
93,2023-03-10,10
89,2023-08-27,27
23,2023-12-29,29
78,2023-04-25,25
72,2024-01-22,22
89,2023-08-26,26
15,2023-11-25,25
49,2021-12-17,17
29,2023-06-20,20
13,2024-01-27,27
10,2022-03-11,11
44,2022-12-27,27
52,2022-10-13,13
3,2023-09-30,30
97,2024-05-03,3
90,2023-04-22,22
92,2024-02-26,26
72,2023-09-30,30
82,2024-03-19,19
11,2024-01-20,20
90,2023-04-14,14
28,2023-02-26,26
38,2022-02-21,21
18,2024-01-06,6
29,2023-06-04,4
62,2023-06-04,4
32,2022-07-26,26
83,2024-01-06,6
21,2022-02-17,17
40,2024-09-04,4
2,2024-09-25,25
66,2022-10-13,13
97,2022-04-12,12
22,2024-04-17,17
26,2024-01-06,6
94,2022-07-29,29
3,2022-04-20,20
77,2023-02-01,1
94,2024-12-06,6
4,2023-05-26,26
5,2024-04-17,17
8,2023-01-31,31
14,2023-11-11,11
90,2023-08-23,23
12,2023-12-06,6
42,2022-02-15,15
50,2022-01-10,10
64,2023-10-21,21
32,2023-03-03,3
84,2023-01-12,12
58,2023-04-03,3
6,2023-01-22,22
100,2023-05-01,1
13,2023-04-01,1
56,2022-06-12,12
96,2024-11-23,23
22,2022-07-23,23
90,2022-11-01,1
42,2023-01-24,24
28,2023-08-31,31
11,2023-08-24,24
50,2023-06-27,27
83,2024-03-25,25
57,2023-04-03,3
1,2023-04-01,1
7,2021-12-16,16
67,2024-06-15,15
38,2021-12-17,17
4,2023-03-10,10
41,2022-12-25,25
22,2023-07-24,24
57,2023-01-27,27
78,2024-01-20,20
31,2024-07-14,14
27,2024-11-07,7
4,2023-10-05,5
8,2023-07-07,7
94,2023-08-26,26
59,2022-12-04,4
54,2024-01-27,27
31,2024-03-25,25
69,2022-12-30,30
95,2024-08-12,12
64,2024-05-05,5
12,2022-08-19,19
33,2022-08-09,9
42,2024-05-15,15
52,2024-08-20,20
14,2024-06-15,15
17,2023-07-29,29
81,2023-01-17,17
87,2024-04-12,12
43,2024-04-22,22
76,2023-05-26,26
59,2023-05-01,1
61,2023-12-06,6
9,2022-04-20,20
21,2023-07-07,7
60,2021-12-12,12
90,2022-06-23,23
40,2023-04-21,21
92,2024-04-12,12
43,2023-03-09,9
97,2023-06-27,27
34,2022-12-04,4
94,2021-12-12,12
17,2022-02-24,24
47,2022-01-16,16
92,2022-02-17,17
34,2022-11-02,2
9,2023-06-15,15
80,2023-05-02,2
96,2023-07-29,29
6,2023-06-20,20
70,2024-03-26,26
74,2023-04-03,3
4,2022-06-24,24
74,2023-08-26,26
41,2021-12-16,16
95,2022-04-20,20
93,2022-03-07,7
30,2024-09-09,9
64,2022-04-20,20
67,2024-05-03,3
80,2022-10-14,14
78,2023-09-02,2
44,2022-06-24,24
22,2022-11-02,2
45,2022-08-29,29
57,2023-07-29,29
97,2024-06-29,29
16,2022-08-08,8
96,2022-04-16,16
88,2022-10-14,14
26,2022-03-07,7
23,2024-04-17,17
22,2023-04-26,26
21,2023-02-16,16
65,2023-09-30,30
4,2023-09-02,2
36,2023-07-29,29
2,2023-02-16,16
47,2023-03-03,3
41,2022-09-06,6
50,2023-09-02,2
26,2024-04-22,22
78,2024-03-30,30
9,2024-03-26,26
48,2023-10-21,21
72,2022-12-27,27
38,2024-11-18,18
40,2024-05-03,3
2,2024-03-20,20
96,2023-04-05,5
41,2022-09-06,6
61,2022-01-05,5
28,2024-06-12,12
81,2023-08-27,27
38,2024-09-04,4
91,2024-11-23,23
68,2022-09-06,6
13,2023-03-10,10
66,2024-06-15,15
26,2022-08-18,18
96,2022-11-01,1
1,2022-11-02,2
91,2022-06-12,12
3,2022-06-12,12
82,2023-10-10,10
18,2023-06-20,20
65,2024-06-12,12
51,2024-08-23,23
96,2024-10-14,14
2,2024-09-12,12
64,2023-04-21,21
60,2024-03-02,2
70,2022-08-11,11
17,2023-04-26,26
19,2022-12-28,28
9,2023-11-20,20
83,2023-09-02,2
